[2022-11-27 17:20:00] [INFO   ] Current ip is Yuankais-MacBook-Air.local 
[2022-11-27 17:20:05] [INFO   ] startThreadForAssignJobToWorkers 
[2022-11-27 17:20:05] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:08] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:11] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:14] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:17] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:20] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:23] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:26] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:29] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:32] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:35] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:38] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:41] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:44] [FINE   ] reconstructing Metadata 
[2022-11-27 17:20:47] [FINE   ] reconstructing Metadata 
