[2022-11-28 20:05:48] [INFO   ] Current ip is Yuankais-MacBook-Air.local 
[2022-11-28 20:05:56] [INFO   ] startThreadForAssignJobToWorkers 
[2022-11-28 20:05:56] [FINE   ] reconstructing Metadata 
[2022-11-28 20:05:59] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:02] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:05] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:08] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:11] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:14] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:17] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:20] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:23] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:26] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:29] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:32] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:35] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:38] [FINE   ] reconstructing Metadata 
[2022-11-28 20:06:41] [FINE   ] reconstructing Metadata 
