[2022-11-27 17:18:55] [INFO   ] Current ip is Yuankais-MacBook-Air.local 
[2022-11-27 17:18:58] [INFO   ] startThreadForAssignJobToWorkers 
[2022-11-27 17:18:58] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:01] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:04] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:07] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:10] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:13] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:16] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:19] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:22] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:25] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:28] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:31] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:34] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:37] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:40] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:43] [FINE   ] reconstructing Metadata 
[2022-11-27 17:19:46] [FINE   ] reconstructing Metadata 
