[2022-11-27 17:25:04] [INFO   ] Current ip is Yuankais-MacBook-Air.local 
[2022-11-27 17:25:09] [INFO   ] startThreadForAssignJobToWorkers 
[2022-11-27 17:25:09] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:12] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:15] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:18] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:21] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:24] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:27] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:30] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:33] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:36] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:39] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:42] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:45] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:48] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:51] [FINE   ] reconstructing Metadata 
[2022-11-27 17:25:54] [FINE   ] reconstructing Metadata 
