[2022-11-28 00:38:05] [INFO   ] Current ip is Yuankais-MacBook-Air.local 
[2022-11-28 00:38:08] [INFO   ] startThreadForAssignJobToWorkers 
[2022-11-28 00:38:08] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:11] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:14] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:17] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:20] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:23] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:26] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:29] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:32] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:35] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:38] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:41] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:44] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:47] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:50] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:53] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:56] [FINE   ] reconstructing Metadata 
[2022-11-28 00:38:59] [FINE   ] reconstructing Metadata 
[2022-11-28 00:39:02] [FINE   ] reconstructing Metadata 
[2022-11-28 00:39:05] [FINE   ] reconstructing Metadata 
[2022-11-28 00:39:08] [FINE   ] reconstructing Metadata 
[2022-11-28 00:39:11] [FINE   ] reconstructing Metadata 
[2022-11-28 00:39:14] [FINE   ] reconstructing Metadata 
[2022-11-28 00:39:17] [FINE   ] reconstructing Metadata 
