[2022-11-27 17:22:16] [INFO   ] Current ip is Yuankais-MacBook-Air.local 
[2022-11-27 17:22:23] [INFO   ] startThreadForAssignJobToWorkers 
[2022-11-27 17:22:23] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:26] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:29] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:32] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:35] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:38] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:41] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:44] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:47] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:50] [FINE   ] reconstructing Metadata 
[2022-11-27 17:22:53] [FINE   ] reconstructing Metadata 
