[2022-11-27 19:35:08] [INFO   ] Current ip is Yuankais-MacBook-Air.local 
[2022-11-27 19:35:11] [INFO   ] startThreadForAssignJobToWorkers 
[2022-11-27 19:35:11] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:14] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:17] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:20] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:23] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:26] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:29] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:32] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:35] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:38] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:41] [FINE   ] reconstructing Metadata 
[2022-11-27 19:35:44] [FINE   ] reconstructing Metadata 
